short_title,word,n,tf,idf,tf_idf
A Midsummer Night's Dream,purple,4,6.522093592043046e-4,1.413693335308005,9.2202402433263e-4
A Midsummer Night's Dream,swifter,4,6.522093592043046e-4,1.413693335308005,9.2202402433263e-4
A Midsummer Night's Dream,horns,5,8.152616990053808e-4,1.1260112628562242,9.179938552553598e-4
A Midsummer Night's Dream,blade,3,4.891570194032284e-4,1.8191584434161694,8.8985412200367e-4
A Midsummer Night's Dream,indian,3,4.891570194032284e-4,1.8191584434161694,8.8985412200367e-4
A Midsummer Night's Dream,nymph,3,4.891570194032284e-4,1.8191584434161694,8.8985412200367e-4
A Midsummer Night's Dream,truest,3,4.891570194032284e-4,1.8191584434161694,8.8985412200367e-4
A Midsummer Night's Dream,lover,8,0.0013044187184086092,0.666478933477784,8.693675962534277e-4
A Midsummer Night's Dream,cupid's,4,6.522093592043046e-4,1.308332819650179,8.533069099300041e-4
A Midsummer Night's Dream,duke,12,0.0019566280776129137,0.4328640822962789,8.469540172110462e-4
A Midsummer Night's Dream,lovely,7,0.0011413663786075331,0.7205461547480596,8.224071552643759e-4
A Midsummer Night's Dream,acorn,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,bellows,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,dale,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,fantasies,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,feigning,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,fruitless,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,interlude,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,lanthorn,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,loam,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,nick,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,orange,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,paramour,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,partition,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,philomel,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,wildest,2,3.261046796021523e-4,2.512305623976115,8.192746205694162e-4
A Midsummer Night's Dream,cherry,3,4.891570194032284e-4,1.6650077635889111,0.00081445023492038695
A Midsummer Night's Dream,hay,3,4.891570194032284e-4,1.6650077635889111,0.00081445023492038695
A Midsummer Night's Dream,solemnity,3,4.891570194032284e-4,1.6650077635889111,0.00081445023492038695
A Midsummer Night's Dream,love's,8,0.0013044187184086092,0.6151856390902335,8.024596629254636e-4
A Midsummer Night's Dream,revels,4,6.522093592043046e-4,1.213022639845854,7.911447186341783e-4
A Midsummer Night's Dream,tawny,3,4.891570194032284e-4,1.5314763709643886,7.491324169074133e-4
A Midsummer Night's Dream,asleep,8,0.0013044187184086092,0.5663954749208014,7.388168595086274e-4
A Midsummer Night's Dream,sleeping,8,0.0013044187184086092,0.5663954749208014,7.388168595086274e-4
A Midsummer Night's Dream,dote,5,8.152616990053808e-4,0.9028677115420144,7.360734644888426e-4
A Midsummer Night's Dream,nuptial,5,8.152616990053808e-4,0.9028677115420144,7.360734644888426e-4
A Midsummer Night's Dream,cupid,4,6.522093592043046e-4,1.1260112628562242,7.343950842042877e-4
A Midsummer Night's Dream,mantle,4,6.522093592043046e-4,1.1260112628562242,7.343950842042877e-4
A Midsummer Night's Dream,yellow,4,6.522093592043046e-4,1.1260112628562242,7.343950842042877e-4
A Midsummer Night's Dream,ace,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,bully,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,couples,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,crete,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
A Midsummer Night's Dream,deceiving,2,3.261046796021523e-4,2.224623551524334,7.254601505052451e-4
