short_title,word,n,total,tf,idf,tf_idf
"Henry IV, Part 1",noon,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",northern,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",northward,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",oats,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",oil,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",ox,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pack'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",packet,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pagans,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pages,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",papers,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",park,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",parties,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",passages,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",paul's,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",paying,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",payment,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",peas,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",perceived,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",performed,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",perfumed,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pharaoh's,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",physicians,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",phœbus,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pinch'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",plantagenet,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",plentiful,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",plumed,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",poison'd,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",politician,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pouch,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",predicament,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",pricks,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",procure,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
"Henry IV, Part 1",profaned,1,8578,1.1657729074376311e-4,1.5040773967762742,1.7534126798511007e-4
