short_title,bigram,n,tf,idf,tf_idf
Richard III,wisdom fare,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wise care,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wit set,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,withal endow,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,withal obdurate,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,withal whet,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,withered hag,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,witted fools,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,witty buckingham,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wizard told,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,woe wearied,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,woeful banishment,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,woeful bed,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,woeful welcomer,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,wooer's tale,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,word judgement,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,world scarce,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,world's deceit,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,world's peace,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,world's shame,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worldly suits,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worn widow,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worry lambs,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
Richard III,worser match,1,3.757985719654265e-4,3.6109179126442243,0.0013569777950560781
