character,n_plays,plays
PUBLIUS,2,Titus Andronicus; Julius Caesar
QUEEN ELIZABETH,2,"Henry VI, Part 3; Richard III"
RIVERS,2,"Henry VI, Part 3; Richard III"
ROBERT,2,King John; Merry Wives of Windsor
ROSS,2,Richard II; Macbeth
SCROOP,2,Richard II; Henry V
SEBASTIAN,2,Twelfth Night; Tempest
SECOND MURDERER,2,Richard III; Macbeth
SECOND OFFICER,2,Twelfth Night; Coriolanus
SECOND SERVINGMAN,2,"Henry VI, Part 1; Coriolanus"
SENATOR,2,Coriolanus; Timon of Athens
SENATORS,2,Othello; Coriolanus
SERGEANT,2,"Henry VI, Part 1; Henry VIII"
SERVINGMAN,2,Richard II; Merchant of Venice
SERVINGMEN,2,"Henry VI, Part 1; Henry VI, Part 2"
SHALLOW,2,"Merry Wives of Windsor; Henry IV, Part 2"
SHEPHERD,2,"Henry VI, Part 1; Winter's Tale"
SOLDIERS,2,Troilus and Cressida; Macbeth
SON,2,"Henry VI, Part 3; Macbeth"
STANLEY,2,"Henry VI, Part 2; Richard III"
STEPHANO,2,Merchant of Venice; Tempest
THIRD MESSENGER,2,Richard III; Antony and Cleopatra
THIRD SERVANT,2,King Lear; Timon of Athens
THIRD SERVINGMAN,2,"Henry VI, Part 1; Coriolanus"
THIRD SOLDIER,2,Julius Caesar; Antony and Cleopatra
TITUS,2,Titus Andronicus; Timon of Athens
TRIBUNES,2,Titus Andronicus; Coriolanus
VALENTINE,2,Two Gentlemen of Verona; Twelfth Night
VAUX,2,"Henry VI, Part 2; Henry VIII"
VENTIDIUS,2,Antony and Cleopatra; Timon of Athens
VERNON,2,"Henry VI, Part 1; Henry IV, Part 1"
WATCH,2,"Henry VI, Part 1; Much Ado about Nothing"
WIDOW,2,Taming of the Shrew; All's Well That Ends Well
WILLIAM,2,Merry Wives of Windsor; As You Like It
