gutenberg_id,short_title,character,n_tokens,n_scenes,n_acts,genre,year
1508,Taming of the Shrew,BIONDELLO,802,3,4,Comedy,1592
1508,Taming of the Shrew,CURTIS,172,1,1,Comedy,1592
1508,Taming of the Shrew,FIRST SERVANT,11,1,2,Comedy,1592
1508,Taming of the Shrew,GREMIO,1339,2,4,Comedy,1592
1508,Taming of the Shrew,GRUMIO,1466,3,3,Comedy,1592
1508,Taming of the Shrew,HABERDASHER,8,1,1,Comedy,1592
1508,Taming of the Shrew,HORTENSIO,1580,4,5,Comedy,1592
1508,Taming of the Shrew,JOSEPH,2,1,1,Comedy,1592
1508,Taming of the Shrew,KATHERINA,1770,4,5,Comedy,1592
1508,Taming of the Shrew,LUCENTIO,1394,3,4,Comedy,1592
1508,Taming of the Shrew,NATHANIEL,22,1,1,Comedy,1592
1508,Taming of the Shrew,NICHOLAS,2,1,1,Comedy,1592
1508,Taming of the Shrew,PAGE,5,1,1,Comedy,1592
1508,Taming of the Shrew,PEDANT,377,3,2,Comedy,1592
1508,Taming of the Shrew,PETER,8,1,1,Comedy,1592
1508,Taming of the Shrew,PETRUCHIO,4641,4,5,Comedy,1592
1508,Taming of the Shrew,PHILIP,3,1,1,Comedy,1592
1508,Taming of the Shrew,SERVANT,23,1,1,Comedy,1592
1508,Taming of the Shrew,SLY,28,1,1,Comedy,1592
1508,Taming of the Shrew,TAILOR,113,1,1,Comedy,1592
1508,Taming of the Shrew,TRANIO,2268,3,5,Comedy,1592
1508,Taming of the Shrew,VINCENTIO,348,3,2,Comedy,1592
1508,Taming of the Shrew,WIDOW,76,1,1,Comedy,1592
1509,Two Gentlemen of Verona,ANTONIO,262,1,1,Comedy,1598
1509,Two Gentlemen of Verona,DUKE,1534,3,3,Comedy,1598
1509,Two Gentlemen of Verona,EGLAMOUR,192,2,2,Comedy,1598
1509,Two Gentlemen of Verona,FIRST OUTLAW,152,2,2,Comedy,1598
1509,Two Gentlemen of Verona,HOST,158,1,1,Comedy,1598
1509,Two Gentlemen of Verona,JULIA,2435,3,4,Comedy,1598
1509,Two Gentlemen of Verona,LANCE,1853,4,3,Comedy,1598
1509,Two Gentlemen of Verona,LUCETTA,560,2,2,Comedy,1598
1509,Two Gentlemen of Verona,OUTLAWS,6,1,1,Comedy,1598
1509,Two Gentlemen of Verona,PANTINO,310,2,2,Comedy,1598
1509,Two Gentlemen of Verona,PROTEUS,3365,5,5,Comedy,1598
1509,Two Gentlemen of Verona,SECOND OUTLAW,139,2,2,Comedy,1598
1509,Two Gentlemen of Verona,SERVANT,9,1,1,Comedy,1598
1509,Two Gentlemen of Verona,SILVIA,1140,4,3,Comedy,1598
1509,Two Gentlemen of Verona,SPEED,1467,3,4,Comedy,1598
1509,Two Gentlemen of Verona,THIRD OUTLAW,165,1,1,Comedy,1598
1509,Two Gentlemen of Verona,THURIO,374,2,4,Comedy,1598
1509,Two Gentlemen of Verona,VALENTINE,2832,2,5,Comedy,1598
1510,Love's Labour's Lost,ARMADO,1038,2,2,Comedy,1595
1510,Love's Labour's Lost,BEROWNE,1702,2,4,Comedy,1595
